dataset,iteration,algorithm,profiling_mode,active_supernodes,group_count,sum_group_sizes,candidate_proxy_pairs_examined,candidate_pairs_after_topk,candidate_pairs_submitted_for_scoring,candidate_pairs_scored,exact_gain_calls,exact_gain_positive_count,above_threshold_count,matching_selected_count,actual_merge_count,prepare_original_edges_scanned,prepare_aggregated_nnz,exact_gain_input_nnz,update_partition_nodes_touched,divide_ms,prepare_ms,candidate_discovery_task_sum_ms,exact_gain_ms,matching_ms,update_ms
youtube,13,legacy_beam,rounds,587861,331177,587861,9778436,1062257,1062257,1062257,1062257,472513,437226,12125,12125,5136379,3929645,34851436,58046,317.983795,868.463549,1091.808276,651.133458,9.224997,2.274540
youtube,14,legacy_beam,rounds,575736,326100,575736,8062513,968293,968293,968293,968293,424201,402160,10466,10466,5151332,3913763,31000905,52328,311.760200,794.093644,1037.044479,587.750731,7.444437,2.031435
youtube,15,legacy_beam,rounds,565270,324046,565270,9153269,950196,950196,950196,950196,396030,374969,9532,9532,5114414,3861196,34301180,50118,301.006330,786.560232,1001.715091,583.346757,6.840718,1.866949
youtube,16,legacy_beam,rounds,555738,318385,555738,7194493,884045,884045,884045,884045,363198,348447,8460,8460,5122315,3843768,30344733,46154,295.861358,720.969772,961.885174,604.817493,5.367770,1.762211
youtube,17,legacy_beam,rounds,547278,314570,547278,7636873,831783,831783,831783,831783,320250,308151,7703,7703,5141058,3835691,32104362,43401,293.178682,676.808331,911.422819,554.525125,5.482896,1.635503
youtube,18,legacy_beam,rounds,539575,308430,539575,7909987,854543,854543,854543,854543,327924,318822,7172,7172,5107368,3787645,30192956,42818,283.894856,702.876004,930.703760,551.253673,5.266677,1.611153
youtube,19,legacy_beam,rounds,532403,304522,532403,7655192,819452,819452,819452,819452,309486,301785,6393,6393,5119967,3782744,31041229,38982,286.074954,683.634818,903.632935,602.324191,4.937221,1.424414
youtube,20,legacy_beam,rounds,526010,300807,526010,8919462,819740,819740,819740,819740,279575,272605,6127,6127,5143841,3788377,32690819,38255,285.054871,717.634127,922.282495,537.574581,4.972889,1.405976
roadnet,1,legacy_beam,rounds,1965206,914872,1965206,1145733,1803169,1803169,1803169,1803169,990085,12082,11606,11606,4696103,4695943,11052832,23212,1503.751064,378.553537,1590.255395,2721.128815,1.231359,1.474349
roadnet,2,legacy_beam,rounds,1953600,908215,1953600,1136990,1786490,1786490,1786490,1786490,963310,62406,58042,58042,4697650,4659384,10942268,116312,1839.289313,264.369600,1561.779966,2650.428613,5.989082,7.752588
roadnet,3,legacy_beam,rounds,1895558,887253,1895558,1058490,1656352,1656352,1656352,1656352,795123,186811,144156,144156,4689175,4455368,10069707,291025,1771.026074,276.981136,1488.121017,2623.938455,14.212135,19.487894
roadnet,4,legacy_beam,rounds,1751402,837767,1751402,884812,1342109,1342109,1342109,1342109,465098,148702,114609,114609,4650541,4069306,8089858,233965,1593.469298,239.910611,1329.595426,2337.184995,11.645346,15.475948
roadnet,5,legacy_beam,rounds,1636793,795267,1636793,800135,1125509,1125509,1125509,1125509,288947,183524,129642,129642,4613355,3810836,6858765,269049,1411.081307,225.176644,1205.105207,2096.949689,12.659071,17.612993
roadnet,6,legacy_beam,rounds,1507151,753128,1507151,696009,890665,890665,890665,890665,122380,101958,77376,77376,4570195,3528420,5566026,166258,1316.214076,209.323029,1058.324099,1892.060287,8.033177,10.542089
roadnet,7,legacy_beam,rounds,1429775,727025,1429775,634488,771985,771985,771985,771985,55581,52769,43713,43713,4545096,3363065,4913557,98655,1228.946220,204.756863,984.325697,1786.158713,4.647309,6.182046
roadnet,8,legacy_beam,rounds,1386062,712692,1386062,602043,713665,713665,713665,713665,31161,30381,27374,27374,4528321,3269637,4605809,64880,1201.977476,190.105830,935.938990,1666.146447,2.922873,3.852663
roadnet,9,legacy_beam,rounds,1358688,702547,1358688,584325,682276,682276,682276,682276,20666,20451,19173,19173,4519369,3215497,4448962,46867,1197.095596,187.490733,921.165183,1630.921136,2.080529,2.737969
roadnet,10,legacy_beam,rounds,1339515,695696,1339515,573164,662157,662157,662157,662157,14955,14863,14162,14162,4514124,3177612,4352487,35581,1131.012855,195.505918,892.531929,1682.816508,1.511595,2.042503
roadnet,11,legacy_beam,rounds,1325353,690685,1325353,565307,647544,647544,647544,647544,11008,10980,10592,10592,4510316,3150437,4282067,27228,1157.147140,185.562739,887.060634,1578.180877,1.162640,1.600837
roadnet,12,legacy_beam,rounds,1314761,686722,1314761,559055,636294,636294,636294,636294,8280,8277,8043,8043,4511378,3132671,4229719,21071,1180.422169,184.624178,876.555669,1600.965153,0.891941,1.269876
roadnet,13,legacy_beam,rounds,1306718,683694,1306718,557615,628449,628449,628449,628449,6674,6674,6500,6500,4505298,3115257,4194750,17271,1123.808210,180.584057,877.345732,1601.701261,0.729553,1.055167
roadnet,14,legacy_beam,rounds,1300218,681146,1300218,552469,623128,623128,623128,623128,5133,5133,5026,5026,4505277,3104627,4171809,13563,1141.032146,181.204429,857.585760,1588.856142,0.584629,0.880595
roadnet,15,legacy_beam,rounds,1295192,678813,1295192,551571,618594,618594,618594,618594,4323,4323,4238,4238,4505836,3096235,4151555,11562,1125.882462,177.300185,866.299294,1555.846711,0.496285,0.759945
roadnet,16,legacy_beam,rounds,1290954,677456,1290954,549976,614877,614877,614877,614877,3588,3588,3536,3536,4505521,3089205,4136186,9710,1102.725604,185.318707,860.257793,1582.831552,0.419150,0.693690
roadnet,17,legacy_beam,rounds,1287418,676069,1287418,548804,611859,611859,611859,611859,2938,2938,2911,2911,4502628,3081405,4122760,8138,1140.511255,180.510543,854.795972,1563.986113,0.338884,0.594913
roadnet,18,legacy_beam,rounds,1284507,674863,1284507,546578,609423,609423,609423,609423,2500,2500,2476,2476,4506465,3079379,4114266,7010,1082.374584,184.965310,852.129250,1541.092738,0.292866,0.538906
roadnet,19,legacy_beam,rounds,1282031,674269,1282031,545555,606585,606585,606585,606585,2097,2097,2077,2077,4504330,3073949,4103131,5903,1114.073635,188.601306,856.687744,1547.087438,0.250631,0.494881
roadnet,20,legacy_beam,rounds,1279954,673455,1279954,545096,605228,605228,605228,605228,1829,1829,1815,1815,4503532,3070195,4097915,5222,1131.147931,184.605797,849.728341,1532.732225,0.212914,0.448873
